ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
127,7.4,0.27,0.31,2.4,0.014,15,143,0.99094,3.03,0.65,12,4
128,7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6,4
129,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4
130,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4
131,8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11,4
132,7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,4
133,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4
134,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4
135,6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4
136,6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4
137,6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9,4
138,6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,4
139,6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4
140,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4
141,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4
142,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4
143,5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,4
144,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,4
145,6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8,4
146,5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,4
147,5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4
148,6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11,4
149,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
150,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
151,7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,4
152,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,4
153,6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4
154,5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,4
155,6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4
156,6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,5
157,6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4,5
158,6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,5
159,6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,5
160,6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5
161,8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,5
162,6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,5
163,6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5
164,5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5
165,6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,5
166,7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5
167,7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5
168,7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5
169,8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5
170,8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,5
171,6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5
172,6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,5
173,6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5
174,6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,5
175,7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5
176,6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5
177,6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5
178,6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,5
179,7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,5
180,6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5
181,6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5
182,6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
183,6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
184,5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5
185,7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5
186,5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5
187,5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5
188,6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5
189,6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,5
190,6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,5
191,7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5
192,7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5
193,6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5
194,7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5
195,7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5
196,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5
197,6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5
198,6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5
199,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5
200,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5
201,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
202,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
203,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5
204,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
205,6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5
206,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
207,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5
208,9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5
209,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
210,7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
211,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
212,8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5
213,6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5
214,4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5
215,6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5
216,7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
217,7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
218,5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5
219,6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,5
220,7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5
221,6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9,5
222,6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5
223,6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,5
224,5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
225,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
226,6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5
227,5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5
228,6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
229,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
230,6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5
231,5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,5
232,6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,5
233,6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5
234,6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5
235,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
236,6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5
237,8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5
238,8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5
239,7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5
240,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
241,8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,5
242,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
243,7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,5
244,8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
245,7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,5
246,6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5
247,6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5
248,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
249,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
250,6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,5
251,6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5
252,6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5
253,5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5
254,6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,5
255,6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
256,7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5
257,6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,5
258,7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5
259,7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,5
260,7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5
261,7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5
262,7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,5
263,7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,5
264,6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5
265,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
266,8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,5
267,7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,5
268,7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5
269,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
270,8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5
271,7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5
272,7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,5
273,6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,5
274,6.7,0.26,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5,5
275,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
276,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
277,7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,5
278,7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,5
279,6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,5
280,7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5
281,7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,5
282,6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,5
283,7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,5
284,7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5
285,7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,5
286,5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5
287,8.1,0.45,0.34,8.3,0.037,33,216,0.9976,3.31,0.64,9.7,5
288,5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5
289,6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,5
290,9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5
291,9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5
292,5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5
293,6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,5
294,8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,5
295,7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,5
296,9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
297,9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5
298,9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,5
299,9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
300,7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,5
301,7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5
302,6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5
303,9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,5
304,8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,5
305,6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5
306,6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,5
307,6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5
308,6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5
309,6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,5
310,7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5
311,8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5
312,7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5
313,6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,5
